X,Y,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,PART_JUD,COD,lng,lat,dis_bomberos_drive_08:30,dis_bomberos_drive_11:00,dis_bomberos_transit_08:30,dis_bomberos_transit_11:00,dis_csmental_drive_08:30,dis_csmental_drive_11:00,dis_csmental_transit_08:30,dis_csmental_transit_11:00,dis_hospt2_1_drive_08:30,dis_hospt2_1_drive_11:00,dis_hospt2_1_transit_08:30,dis_hospt2_1_transit_11:00,dis_hospt2_2_drive_08:30,dis_hospt2_2_drive_11:00,dis_hospt2_2_transit_08:30,dis_hospt2_2_transit_11:00,dis_hospt2_3_drive_08:30,dis_hospt2_3_drive_11:00,dis_hospt2_3_transit_08:30,dis_hospt2_3_transit_11:00,dis_hospt2_4_drive_08:30,dis_hospt2_4_drive_11:00,dis_hospt2_4_transit_08:30,dis_hospt2_4_transit_11:00,dis_hospt3_1_drive_08:30,dis_hospt3_1_drive_11:00,dis_hospt3_1_transit_08:30,dis_hospt3_1_transit_11:00,dis_hospt3_2_drive_08:30,dis_hospt3_2_drive_11:00,dis_hospt3_2_transit_08:30,dis_hospt3_2_transit_11:00,dis_hospt3_3_drive_08:30,dis_hospt3_3_drive_11:00,dis_hospt3_3_transit_08:30,dis_hospt3_3_transit_11:00,dis_juzgados_drive_08:30,dis_juzgados_drive_11:00,dis_juzgados_transit_08:30,dis_juzgados_transit_11:00,dur_bomberos_drive_08:30,dur_bomberos_drive_11:00,dur_bomberos_transit_08:30,dur_bomberos_transit_11:00,dur_csmental_drive_08:30,dur_csmental_drive_11:00,dur_csmental_transit_08:30,dur_csmental_transit_11:00,dur_hospt2_1_drive_08:30,dur_hospt2_1_drive_11:00,dur_hospt2_1_transit_08:30,dur_hospt2_1_transit_11:00,dur_hospt2_2_drive_08:30,dur_hospt2_2_drive_11:00,dur_hospt2_2_transit_08:30,dur_hospt2_2_transit_11:00,dur_hospt2_3_drive_08:30,dur_hospt2_3_drive_11:00,dur_hospt2_3_transit_08:30,dur_hospt2_3_transit_11:00,dur_hospt2_4_drive_08:30,dur_hospt2_4_drive_11:00,dur_hospt2_4_transit_08:30,dur_hospt2_4_transit_11:00,dur_hospt3_1_drive_08:30,dur_hospt3_1_drive_11:00,dur_hospt3_1_transit_08:30,dur_hospt3_1_transit_11:00,dur_hospt3_2_drive_08:30,dur_hospt3_2_drive_11:00,dur_hospt3_2_transit_08:30,dur_hospt3_2_transit_11:00,dur_hospt3_3_drive_08:30,dur_hospt3_3_drive_11:00,dur_hospt3_3_transit_08:30,dur_hospt3_3_transit_11:00,dur_juzgados_drive_08:30,dur_juzgados_drive_11:00,dur_juzgados_transit_08:30,dur_juzgados_transit_11:00,mean_dis_all,mean_dis_bomberos_all,mean_dis_bomberos_drive,mean_dis_bomberos_transit,mean_dis_csmental_all,mean_dis_csmental_drive,mean_dis_csmental_transit,mean_dis_drive,mean_dis_hospt2_all,mean_dis_hospt2_drive,mean_dis_hospt2_transit,mean_dis_hospt3_all,mean_dis_hospt3_drive,mean_dis_hospt3_transit,mean_dis_juzgados_all,mean_dis_juzgados_drive,mean_dis_juzgados_transit,mean_dis_transit,mean_dur_all,mean_dur_bomberos_all,mean_dur_bomberos_drive,mean_dur_bomberos_transit,mean_dur_csmental_all,mean_dur_csmental_drive,mean_dur_csmental_transit,mean_dur_drive,mean_dur_hospt2_all,mean_dur_hospt2_drive,mean_dur_hospt2_transit,mean_dur_hospt3_all,mean_dur_hospt3_drive,mean_dur_hospt3_transit,mean_dur_juzgados_all,mean_dur_juzgados_drive,mean_dur_juzgados_transit,mean_dur_transit,weigh_mean_dis_all,weigh_mean_dis_bomberos_all,weigh_mean_dis_bomberos_drive,weigh_mean_dis_bomberos_transit,weigh_mean_dis_csmental_all,weigh_mean_dis_csmental_drive,weigh_mean_dis_csmental_transit,weigh_mean_dis_drive,weigh_mean_dis_hospt2_all,weigh_mean_dis_hospt2_drive,weigh_mean_dis_hospt2_transit,weigh_mean_dis_hospt3_all,weigh_mean_dis_hospt3_drive,weigh_mean_dis_hospt3_transit,weigh_mean_dis_juzgados_all,weigh_mean_dis_juzgados_drive,weigh_mean_dis_juzgados_transit,weigh_mean_dis_transit,weigh_mean_dur_all,weigh_mean_dur_bomberos_all,weigh_mean_dur_bomberos_drive,weigh_mean_dur_bomberos_transit,weigh_mean_dur_csmental_all,weigh_mean_dur_csmental_drive,weigh_mean_dur_csmental_transit,weigh_mean_dur_drive,weigh_mean_dur_hospt2_all,weigh_mean_dur_hospt2_drive,weigh_mean_dur_hospt2_transit,weigh_mean_dur_hospt3_all,weigh_mean_dur_hospt3_drive,weigh_mean_dur_hospt3_transit,weigh_mean_dur_juzgados_all,weigh_mean_dur_juzgados_drive,weigh_mean_dur_juzgados_transit,weigh_mean_dur_transit
443758.167706114,4474944.92782651,"079","01","01","0790101",Madrid,Madrid,Madrid Núcleo,"3422416","11","1",-3.6629893726,40.4232353619,1633,1633,1827,1652,1582,1582,1293,1293,14163,14163,12782,12782,,,,,,,,,,,,,1929,1929,2174,2213,8244,8244,7175,7175,,,,,1043,1043,1242,825,403,455,1052,1166,402,458,712,700,1467,1489,3163,3223,,,,,,,,,,,,,464,476,1063,1317,793,835,2281,2341,,,,,253,281,702,754,4567.54166666667,1686.25,1633,1739.5,1437.5,1582,1293,4765.66666666667,13472.5,14163,12782,4885.375,5086.5,4684.25,1038.25,1043,1033.5,4369.41666666667,1093.75,769,429,1109,568,430,706,648,2335.5,1478,3193,1196.25,642,1750.5,497.5,267,728,1539.5,15632027680.6667,5771048980,5588805328,5953292632,4919723000,5414262112,4425183888,16310093850.6667,46108499560,48471677808,43745321312,16719785566,17408118984,16031452148,3553323412,3569579888,3537066936,14953961510.6667,3743267500,2631837904,1468216464,3795459344,1943932288,1471638880,2416225696,2217725568,7993052568,5058330848,10927774288,4094065140,2197191072,5990939208,1702651960,913785072,2491518848,5268809432
441460.301177286,4458883.18214624,"065","06","01","0650601",Arroyo Culebro,Arroyo Culebro,Arroyo Culebro Núcleo,"15","10","1",-3.68860193,40.27838299,8882,8882,15474,15474,9017,9017,14381,16840,17429,17429,31413,28730,,,,,,,,,,,,,29482,20222,27191,27452,11309,13468,17105,19104,,,,,12584,12584,12190,12975,681,673,4022,4142,683,666,4888,5335,1478,1383,6484,6484,,,,,,,,,,,,,1807,1367,7179,6731,881,786,5206,5348,,,,,737,690,3706,4072,17026.4166666667,12178,8882,15474,12313.75,9017,15610.5,14192.0833333333,23750.25,17429,30071.5,20666.625,18620.25,22713,12583.25,12584,12582.5,19860.75,3142.875,2379.5,677,4082,2893,674.5,5111.5,986,3957.25,1430.5,6484,3663.125,1210.25,6116,2301.25,713.5,3889,5299.75,255396.25,182670,133230,232110,184706.25,135255,234157.5,212881.25,356253.75,261435,451072.5,309999.375,279303.75,340695,188748.75,188760,188737.5,297911.25,47143.125,35692.5,10155,61230,43395,10117.5,76672.5,14790,59358.75,21457.5,97260,54946.875,18153.75,91740,34518.75,10702.5,58335,79496.25
441919.785547023,4463523.08727193,"065","09","01","0650901",Adaro,Adaro,Adaro Núcleo,"260","10","1",-3.683618564,40.3202145107,8445,8445,11837,11837,5984,5984,5696,5696,14397,14772,15060,26331,,,,,,,,,,,,,16125,16125,17866,22656,9370,9370,8419,8419,,,,,6257,6257,6368,10399,917,905,3590,3770,686,661,2155,2244,1477,1359,4274,5212,,,,,,,,,,,,,1917,1316,4373,5396,881,727,2405,2562,,,,,620,606,2399,3445,11338.125,10141,8445,11837,5840,5984,5696,10127.5833333333,17640,14584.5,20695.5,13543.75,12747.5,14340,7320.25,6257,8383.5,12548.6666666667,2245.70833333333,2295.5,911,3680,1436.5,673.5,2199.5,1006,3080.5,1418,4743,2447.125,1210.25,3684,1767.5,613,2922,3485.41666666667,2947912.5,2636660,2195700,3077620,1518400,1555840,1480960,2633171.66666667,4586400,3791970,5380830,3521375,3314350,3728400,1903265,1626820,2179710,3262653.33333333,583884.166666667,596830,236860,956800,373490,175110,571870,261560,800930,368680,1233180,636252.5,314665,957840,459550,159380,759720,906208.333333333
444695.313530534,4463904.82026985,"065","04","01","0650401",Perales del Río,Perales del Río,Perales del Río Núcleo,"134","10","1",-3.65098499,40.32384187,10904,10904,17875,17875,11288,9159,8605,8605,13942,13942,19587,19587,,,,,,,,,,,,,24470,15295,20638,20638,8541,8541,11191,11191,,,,,9098,9098,10984,10984,933,988,3604,3844,981,865,2312,2312,1502,1368,4322,4502,,,,,,,,,,,,,1723,1316,4415,4595,820,733,2604,2544,,,,,716,682,2955,2955,13455.9166666667,14389.5,10904,17875,9414.25,10223.5,8605,12098.5,16764.5,13942,19587,15063.125,14211.75,15914.5,10041,9098,10984,14813.3333333333,2232.95833333333,2342.25,960.5,3724,1617.5,923,2312,1052.25,2923.5,1435,4412,2343.75,1148,3539.5,1827,699,2955,3413.66666666667,1803092.83333333,1928193,1461136,2395250,1261509.5,1369949,1153070,1621199,2246443,1868228,2624658,2018458.75,1904374.5,2132543,1345494,1219132,1471856,1984986.66666667,299216.416666667,313861.5,128707,499016,216745,123682,309808,141001.5,391749,192290,591208,314062.5,153832,474293,244818,93666,395970,457431.333333333
444458.042376964,4464051.6162025,"065","04","02","0650402",Casas del Cura,Casas del Cura,Casas del Cura Núcleo,"8836","10","1",-3.653790468,40.3251485617,11161,11161,17620,17620,8904,8904,8350,8350,13687,13687,19332,19332,,,,,,,,,,,,,24214,15039,20383,20383,8285,8285,10936,10936,,,,,8842,8842,10729,10729,961,1019,3401,3641,875,834,2109,2109,1452,1332,4119,4299,,,,,,,,,,,,,1684,1293,4212,4392,785,704,2401,2341,,,,,682,647,2752,2752,13154.625,14390.5,11161,17620,8627,8904,8350,11750.9166666667,16509.5,13687,19332,14807.625,13955.75,15659.5,9785.5,8842,10729,14558.3333333333,2116.5,2255.5,990,3521,1481.75,854.5,2109,1022.33333333333,2800.5,1392,4209,2226.5,1116.5,3336.5,1708.25,664.5,2752,3210.66666666667,116234266.5,127154458,98618596,155690320,76228172,78675744,73780600,103831099.666667,145877942,120938332,170817552,130840174.5,123313007,138367342,86464678,78127912,94801444,128637433.333333,18701394,19929598,8747640,31111556,13092743,7550362,18635124,9033337.33333333,24745218,12299712,37190724,19673354,9865394,29481314,15094097,5871522,24316672,28369450.6666667
445508.100003384,4463388.50984367,"065","04","03","0650403",Caserío de Perales,Caserío de Perales,Caserío de Perales Núcleo,"970","10","1",-3.641374327,40.3192440077,11367,11367,19157,19157,11751,11751,9887,9887,14982,14982,20869,20869,,,,,,,,,,,,,25509,16334,21920,21920,9580,9580,12473,12473,,,,,10137,10137,12265,12265,1001,1061,3704,3943,1042,1121,2325,2325,1610,1492,4335,4515,,,,,,,,,,,,,1835,1442,4428,4608,931,855,2617,2557,,,,,837,811,2968,2968,14609.125,15262,11367,19157,10819,11751,9887,13123.0833333333,17925.5,14982,20869,16223.625,15250.75,17196.5,11201,10137,12265,16095.1666666667,2305.45833333333,2427.25,1031,3823.5,1703.25,1081.5,2325,1169.83333333333,2988,1551,4425,2409.125,1265.75,3552.5,1896,824,2968,3441.08333333333,14170851.25,14804140,11025990,18582290,10494430,11398470,9590390,12729390.8333333,17387735,14532540,20242930,15736916.25,14793227.5,16680605,10864970,9832890,11897050,15612311.6666667,2236294.58333333,2354432.5,1000070,3708795,1652152.5,1049055,2255250,1134738.33333333,2898360,1504470,4292250,2336851.25,1227777.5,3445925,1839120,799280,2878960,3337850.83333333
468177.79704874,4489192.78055199,"032","01","01","0320101",Camarma de Esteruelas,Camarma de Esteruelas,Camarma de Esteruelas Núcleo,"7132","4","2",-3.3758496372,40.552884426,10472,10472,14306,14306,7951,7951,8942,8942,8894,8894,10147,10803,14664,14664,19024,20865,,,,,,,,,,,,,,,,,,,,,9317,9317,10927,10927,1300,1272,2912,2912,792,684,1367,1367,869,843,2835,2309,1160,1001,3487,4033,,,,,,,,,,,,,,,,,,,,,838,758,2452,2452,11589.25,12389,10472,14306,8446.5,7951,8942,10259.6,13494.375,11779,15209.75,,,,10122,9317,10927,12918.9,1782.15,2099,1286,2912,1052.5,738,1367,951.7,2067.125,968.25,3166,,,,1625,798,2452,2612.6,82654531,88358348,74686304,102030392,60240438,56706532,63774344,73171467.2,96241882.5,84007828,108475937,,,,72190104,66448844,77931364,92137594.8,12710293.8,14970068,9171752,20768384,7506430,5263416,9749444,6787524.4,14742735.5,6905559,22579912,,,,11589500,5691336,17487664,18633063.2
468412.59961419,4494292.20419039,"032","04","01","0320401","Practicante, El",El Practicante,El Practicante Núcleo,"542","4","2",-3.373331723,40.5988326527,15881,15881,20319,52510,13360,13360,17448,51726,14302,14302,23873,54283,20073,20073,25037,56861,,,,,,,,,,,,,,,,,,,,,14726,14726,16940,49746,1569,1533,3226,6526,1055,944,2937,6957,1135,1105,3807,7279,1412,1268,4101,7280,,,,,,,,,,,,,,,,,,,,,1098,1021,2826,6295,26271.35,26147.75,15881,36414.5,23973.5,13360,34587,15668.4,28600.5,17187.5,40013.5,,,,24034.5,14726,33343,36874.3,3168.7,3213.5,1551,4876,2973.25,999.5,4947,1214,3423.375,1230,5616.75,,,,2810,1059.5,4560.5,5123.4,14239071.7,14172080.5,8607502,19736659,12993637,7241120,18746154,8492272.8,15501471,9315625,21687317,,,,13026699,7981492,18071906,19985870.6,1717435.4,1741717,840642,2642792,1611501.5,541729,2681274,657988,1855469.25,666660,3044278.5,,,,1523020,574249,2471791,2776882.8
467127.49455152,4486496.78937304,"032","03","01","0320301",Alcamar,Alcamar,Alcamar Núcleo,"420","4","2",-3.3881142165,40.528555892,8056,8056,11124,11124,5535,5535,5759,5759,6477,6477,6964,7620,12248,12248,15841,17682,,,,,,,,,,,,,,,,,,,,,6900,6900,7744,7744,1138,1100,2417,2417,622,506,872,872,696,670,2340,1814,998,822,2992,3538,,,,,,,,,,,,,,,,,,,,,683,588,1957,1957,8789.65,9590,8056,11124,5647,5535,5759,7843.2,10694.625,9362.5,12026.75,,,,7322,6900,7744,9736.1,1449.95,1768,1119,2417,718,564,872,782.3,1733.75,796.5,2671,,,,1296.25,635.5,1957,2117.6,3691653,4027800,3383520,4672080,2371740,2324700,2418780,3294144,4491742.5,3932250,5051235,,,,3075240,2898000,3252480,4089162,608979,742560,469980,1015140,301560,236880,366240,328566,728175,334530,1121820,,,,544425,266910,821940,889392
459885.279657368,4476392.41239269,"148","04","01","1480401","Castillo, El",El Castillo,El Castillo Núcleo,"779","2","2",-3.4729786486,40.4372093463,2829,2829,2705,2532,4848,4848,6935,6262,17869,17869,17737,18421,6213,6213,7912,10631,,,,,,,,,,,,,,,,,,,,,4499,4499,3752,5496,419,417,1084,823,800,826,2361,2002,1153,1129,4561,4393,702,716,2905,2851,,,,,,,,,,,,,,,,,,,,,591,574,1749,1389,7744.95,2723.75,2829,2618.5,5723.25,4848,6598.5,7251.6,12858.125,12041,13675.25,,,,4561.5,4499,4624,8238.3,1572.25,685.75,418,953.5,1497.25,813,2181.5,732.7,2301.25,925,3677.5,,,,1075.75,582.5,1569,2411.8,6033316.05,2121801.25,2203791,2039811.5,4458411.75,3776592,5140231.5,5648996.4,10016479.375,9379939,10653019.75,,,,3553408.5,3504721,3602096,6417635.7,1224782.75,534199.25,325622,742776.5,1166357.75,633327,1699388.5,570773.3,1792673.75,720575,2864772.5,,,,838009.25,453767.5,1222251,1878792.2
