fid,CMUN,CODIGO,ETIQUETA,DESCR,PART_JUD,POB,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
1,"032","0323",Camarma de Esteruelas,Camarma De Esteruelas,4,8094,13165,15621,13165,14361,16706,14361,,,,10908,12263,10908,9341,10494,9341,12427,14358,12427,2156,3018,2156,2141,3304,2141,,,,1687,2568,1687,1164,1581,1164,1858,2755,1858
2,"028","0284",Bustarviejo,Bustarviejo,1,2682,47271,72735,47271,57632,70991,57632,57075,54649,57075,23317,23131,23317,33414,30715,33414,45964,51145,45964,5188,8957,5188,4530,6798,4530,3829,4728,3829,2576,3830,2576,2457,2860,2457,3735,5317,3735
3,"040","0409",Ciempozuelos,Ciempozuelos,20,26037,8669,9198,8669,28190,27861,28190,,,,8556,10407,8556,15483,18468,15483,17817,18759,17817,1213,1586,1213,2448,3163,2448,,,,1430,2017,1430,1646,2148,1646,1837,2416,1837
4,"034","0344",Canencia,Canencia,1,440,54186,68882,54186,68371,75040,68371,75632,74335,75632,17267,20796,17267,70529,100148,70529,60270,68923,60270,5875,9848,5875,5146,7586,5146,5391,7381,5391,1968,3085,1968,6263,9814,6263,5006,7516,5006
5,"036","0360",Casarrubuelos,Casarrubuelos,3,4211,40925,48229,40925,22188,22984,22188,,,,14053,14368,14053,10646,10908,10646,22000,23895,22000,3735,5620,3735,2254,3311,2254,,,,1564,2365,1564,1238,1753,1238,2209,3272,2209
6,"113","1132",Pinto,Pinto,16,55918,6756,6999,6756,15128,16640,15128,,,,5928,6670,5928,7401,7674,7401,10068,10924,10068,1309,1971,1309,2106,3329,2106,,,,1012,1616,1012,1365,1994,1365,1579,2448,1579
7,"007","0072",Alcorcón,Alcorc??n,17,174705,3442,3056,3442,7024,8100,7024,,,,2301,2249,2301,2747,2286,2747,5227,5713,5227,1031,1394,1031,1395,2059,1395,,,,901,1400,901,1085,1624,1085,1228,1807,1228
8,"123","1230",Rivas-Vaciamadrid,Rivas-vaciamadrid,14,101579,15434,15936,15434,13256,13671,13256,18481,19132,18481,9196,8892,9196,2043,2376,2043,11682,12002,11682,2269,3500,2269,2080,3072,2080,2173,3165,2173,1939,3181,1939,428,609,428,1778,2705,1778
9,"052","0528",Chinchón,Chinch??n,20,5138,51815,76053,51815,60469,73083,60469,,,,35975,41831,35975,34360,42890,34360,48618,61388,48618,4910,8028,4910,5058,7469,5058,,,,3149,4663,3149,2835,4090,2835,4202,6344,4202
10,"033","0339",Campo Real,Campo Real,14,6716,12614,12386,12614,34374,34380,34374,35005,37409,35005,12747,14402,12747,10397,11020,10397,21027,21920,21027,1915,3036,1915,3651,5418,3651,3349,5033,3349,1939,3037,1939,1376,1865,1376,2446,3678,2446
11,"015","0151",Arroyomolinos,Arroyomolinos,3,37276,13905,15970,13905,12655,13210,12655,,,,11073,10681,11073,12062,12624,12062,12523,13159,12523,1817,2810,1817,1667,2456,1667,,,,1735,2470,1735,1888,2766,1888,1730,2553,1730
12,"161","1610",Valdemoro,Valdemoro,20,83423,3270,3864,3270,24546,26180,24546,,,,2900,3041,2900,3989,5317,3989,11850,12916,11850,619,798,619,2503,3640,2503,,,,748,1063,748,841,1236,841,1443,2075,1443
13,"162","1625",Valdeolmos-Alalpardo,Valdeolmos-alalpardo,2,4471,37706,48101,37706,17590,18430,17590,34168,33678,34168,26612,31156,26612,21367,21514,21367,28602,31093,28602,4005,6109,4005,2113,2810,2113,2874,3670,2874,2886,4287,2886,2615,3662,2615,2894,4035,2894
14,"069","0698",La Hiruela,La Hiruela,1,82,65013,85009,65013,84670,87112,84670,91932,86407,91932,28690,28476,28690,98323,114117,98323,76760,81254,76760,8178,13064,8178,7591,11102,7591,7862,11067,7862,3804,5371,3804,9177,14080,9177,7412,10958,7412
15,"148","1489",Torrejón de Ardoz,Torrej??n De Ardoz,2,140494,1215,1040,1215,9198,10199,9198,,,,3529,3853,3529,2028,2397,2028,5034,5537,5034,546,836,546,1792,2894,1792,,,,914,1377,914,843,1377,843,1177,1876,1177
16,"013","0133",Aranjuez,Aranjuez,8,62298,1609,1957,1609,44910,44836,44910,,,,2380,2765,2380,4720,5948,4720,19706,20068,19706,328,405,328,3016,3920,3016,,,,451,629,451,606,757,606,1483,1926,1483
17,"125","1258",Robledo de Chavela,Robledo De Chavela,7,4697,36616,52205,36616,38335,35371,38335,58303,58958,58303,17058,17748,17058,32072,48901,32072,42713,47300,42713,3670,5693,3670,3601,4317,3601,4171,4829,4171,2183,3178,2183,3283,5285,3283,3607,4708,3607
18,"044","0442",Colmenarejo,Colmenarejo,7,9648,19367,22161,19367,16524,18109,16524,34009,33222,34009,14650,15091,14650,16478,18063,16478,24149,24727,24149,2644,3959,2644,2524,3418,2524,3173,4114,3173,1956,2852,1956,2496,3380,2496,2734,3707,2734
19,"082","0822",Manzanares El Real,Manzanares El Real,19,9510,16966,18378,16966,53902,59777,53902,41212,41520,41212,27664,38223,27664,18715,19452,18715,33279,36478,33279,1794,2539,1794,4338,6244,4338,3073,3968,3073,3950,6728,3950,1906,2749,1906,3022,4366,3022
20,"057","0571",Fresno de Torote,Fresno De Torote,2,2545,24665,25353,24665,39160,47965,39160,46734,48736,46734,22836,24279,22836,38209,43061,38209,36390,39688,36390,2447,3209,2447,4491,7076,4491,4464,6436,4464,2551,3785,2551,4526,7059,4526,3824,5667,3824
21,"110","1104",Perales de Tajuña,Perales De Taju??a,14,3067,11211,11458,11211,35194,34816,35194,41254,42576,41254,17614,16799,17614,11942,12176,11942,23443,23565,23443,1141,1534,1141,3170,4458,3170,3302,4748,3302,1442,1999,1442,1072,1228,1072,2025,2793,2025
22,"146","1467",Tielmes,Tielmes,14,2789,16480,15901,16480,40649,40410,40649,44833,44419,44833,22775,21806,22775,17018,16232,17018,28351,27754,28351,1769,2594,1769,4343,6642,4343,4095,6162,4095,2330,3602,2330,1785,2454,1785,2864,4291,2864
23,"178","1782",Villanueva de Perales,Villanueva De Perales,3,1642,15998,16460,15998,33393,34445,33393,,,,28950,43657,28950,15805,16059,15805,27761,30565,27761,1572,2026,1572,2975,4309,2975,,,,2689,4507,2689,1643,2135,1643,2543,3700,2543
24,"166","1662",Valverde de Alcalá,Valverde De Alcal??,4,550,14147,16244,14147,22779,24439,22779,,,,20620,21647,20620,15970,19192,15970,19259,21192,19259,1616,2185,1616,2434,3594,2434,,,,2501,3913,2501,2045,2961,2045,2206,3249,2206
25,"048","0480",Corpa,Corpa,4,794,15592,15246,15592,24624,24044,24624,,,,22764,21850,22764,16622,16609,16622,20845,20359,20845,2394,3542,2394,3441,5389,3441,,,,3713,6121,3713,2654,3981,2654,3128,4884,3128
26,"083","0838",Meco,Meco,4,15806,12069,14695,12069,13529,15695,13529,,,,13465,16362,13465,12144,16038,12144,12947,15697,12947,1730,2390,1730,1585,2338,1585,,,,2064,3320,2064,1873,3026,1873,1768,2682,1768
27,"902","9020",Puentes Viejas,Puentes Viejas,19,698,75817,98540,75817,60627,65344,60627,71593,72048,71593,8724,9487,8724,76581,96950,76581,60822,69070,60822,6552,10394,6552,4847,7175,4847,5500,7819,5500,1213,1778,1213,6404,10137,6404,5003,7520,5003
28,"140","1408",Serranillos del Valle,Serranillos Del Valle,3,4618,28318,38404,28318,21523,21469,21523,,,,24972,30633,24972,18871,21783,18871,23041,26752,23041,3659,6071,3659,2344,3466,2344,,,,2549,4048,2549,1685,2392,1685,2516,3889,2516
29,"150","1505",Torrejón de Velasco,Torrej??n De Velasco,20,4784,19761,28643,19761,19594,21611,19594,,,,10909,11898,10909,7503,8438,7503,15472,18440,15472,4261,7777,4261,3738,6403,3738,,,,2968,5301,2968,2692,4799,2692,3479,6137,3479
