fid,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,Poblacion_Total,avg_dis_B_d,avg_dis_B_t,avg_dis_B_total,avg_dis_H2_d,avg_dis_H2_t,avg_dis_H2_total,avg_dis_H3_d,avg_dis_H3_t,avg_dis_H3_total,avg_dis_J_d,avg_dis_J_t,avg_dis_J_total,avg_dis_M_d,avg_dis_M_t,avg_dis_M_total,avg_dis_d,avg_dis_t,avg_dis_total,avg_dur_B_d,avg_dur_B_t,avg_dur_B_total,avg_dur_H2_d,avg_dur_H2_t,avg_dur_H2_total,avg_dur_H3_d,avg_dur_H3_t,avg_dur_H3_total,avg_dur_J_d,avg_dur_J_t,avg_dur_J_total,avg_dur_M_d,avg_dur_M_t,avg_dur_M_total,avg_dur_d,avg_dur_t,avg_dur_total,dis_B_d_n,dis_B_d_p,dis_B_t_n,dis_B_t_p,dis_H21_d_n,dis_H21_d_p,dis_H21_t_n,dis_H21_t_p,dis_H22_d_n,dis_H22_d_p,dis_H22_t_n,dis_H22_t_p,dis_H23_d_n,dis_H23_d_p,dis_H23_t_n,dis_H23_t_p,dis_H24_d_n,dis_H24_d_p,dis_H24_t_n,dis_H24_t_p,dis_H31_d_n,dis_H31_d_p,dis_H31_t_n,dis_H31_t_p,dis_H32_d_n,dis_H32_d_p,dis_H32_t_n,dis_H32_t_p,dis_H33_d_n,dis_H33_d_p,dis_H33_t_n,dis_H33_t_p,dis_J_d_n,dis_J_d_p,dis_J_t_n,dis_J_t_p,dis_M_d_n,dis_M_d_p,dis_M_t_n,dis_M_t_p,dur_B_d_n,dur_B_d_p,dur_B_t_n,dur_B_t_p,dur_H21_d_n,dur_H21_d_p,dur_H21_t_n,dur_H21_t_p,dur_H22_d_n,dur_H22_d_p,dur_H22_t_n,dur_H22_t_p,dur_H23_d_n,dur_H23_d_p,dur_H23_t_n,dur_H23_t_p,dur_H24_d_n,dur_H24_d_p,dur_H24_t_n,dur_H24_t_p,dur_H31_d_n,dur_H31_d_p,dur_H31_t_n,dur_H31_t_p,dur_H32_d_n,dur_H32_d_p,dur_H32_t_n,dur_H32_t_p,dur_H33_d_n,dur_H33_d_p,dur_H33_t_n,dur_H33_t_p,dur_J_d_n,dur_J_d_p,dur_J_t_n,dur_J_t_p,dur_M_d_n,dur_M_d_p,dur_M_t_n,dur_M_t_p,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
1,"172","08","01","1720801",Valdeláguila - El Robledal - El Mirador,Valdeláguila - El Robledal - El Mirador,Valdeláguila - El Robledal - El Mirador Núcleo,1626,"1626",17597,22830,17597,25135.625,31025.25,25135.625,,,,22147,28233,22147,19419.5,25778,19419.5,21886.95,27778.3,21886.95,2985.25,4804,2985.25,3863.25,6212.75,3863.25,,,,3908,6532,3908,3408,5580,3408,3605.55,5868.3,3605.55,12364,12364,22830,22830,20421,20421,28819,28239,18071,18071,33025,34018,,,,,,,,,,,,,,,,,,,,,16061,16061,28020,28446,13061,13061,27092,24464,1146,1187,4804,4804,1556,1637,5989,5441,1407,1455,6409,7012,,,,,,,,,,,,,,,,,,,,,1255,1313,6217,6847,1209,1263,5399,5761,28612722,37121580,28612722,40870526.25,50447056.5,40870526.25,,,,36011022,45906858,36011022,31576107,41915028,31576107,35588180.7,45167515.8,35588180.7,4854016.5,7811304,4854016.5,6281644.5,10101931.5,6281644.5,,,,6354408,10621032,6354408,5541408,9073080,5541408,5862624.3,9541855.8,5862624.3
2,"068","07","05","0680705",Vallefresnos - El Peñón,Vallefresnos - El Peñón,Vallefresnos - El Peñón Núcleo,677,"677",15010.5,13918,15010.5,15755,17590,15755,47437.8333333333,47755.3333333333,47437.8333333333,14179.25,13886.5,14179.25,15709.5,17544,15709.5,28995.3928571429,29457.7857142857,28995.3928571429,1725.5,2353.5,1725.5,2234,3241.5,2234,3817.25,5160.5,3817.25,1931.5,2643,1931.5,2206,3203.5,2206,2792.67857142857,3846.14285714286,2792.67857142857,16103,16103,12992,14844,13920,13920,20493,14687,,,,,,,,,,,,,50109,50109,48114,50198,50026,50026,48285,50369,41226,41226,43857,45709,14472,14472,12764,15009,13875,13875,20447,14641,1084,1111,2211,2496,1236,1217,3918,2565,,,,,,,,,,,,,2410,2846,4415,4306,2481,2813,4573,4464,2086,2208,6657,6548,1205,1235,2527,2759,1216,1201,3880,2527,10162108.5,9422486,10162108.5,10666135,11908430,10666135,32115413.1666667,32330360.6666667,32115413.1666667,9599352.25,9401160.5,9599352.25,10635331.5,11877288,10635331.5,19629880.9642857,19942920.9285714,19629880.9642857,1168163.5,1593319.5,1168163.5,1512418,2194495.5,1512418,2584278.25,3493658.5,2584278.25,1307625.5,1789311,1307625.5,1493462,2168769.5,1493462,1890643.39285714,2603838.71428571,1890643.39285714
3,"068","08","01","0680801","Negrales, Los",Los Negrales,Los Negrales Núcleo,187,"187",5192,4387,5192,8085.5,10349,8085.5,39926.75,42839.1666666667,39926.75,4227.25,4502.5,4227.25,8039.5,10303,8039.5,20760.6428571429,22579.8571428571,20760.6428571429,908.5,1373,908.5,1522.5,2305,1522.5,3158.75,4441.5,3158.75,1005.5,1507.5,1005.5,1496,2267,1496,2058.39285714286,2968.14285714286,2058.39285714286,5997,5997,4387,4387,5822,5822,13891,6807,,,,,,,,,,,,,40003,40003,39509,39509,39920,39920,39680,39680,31120,31120,63723,34934,3952,3952,4159,4846,5776,5776,13845,6761,447,441,1374,1372,751,729,3129,1481,,,,,,,,,,,,,1804,2300,3576,3576,1825,2293,3734,3734,1431,1603,6322,5707,518,489,1684,1331,738,712,3091,1443,970904,820369,970904,1511988.5,1935263,1511988.5,7466302.25,8010924.16666667,7466302.25,790495.75,841967.5,790495.75,1503386.5,1926661,1503386.5,3882240.21428571,4222433.28571429,3882240.21428571,169889.5,256751,169889.5,284707.5,431035,284707.5,590686.25,830560.5,590686.25,188028.5,281902.5,188028.5,279752,423929,279752,384919.464285714,555042.714285714,384919.464285714
4,"111","01","01","1110101",Pezuela de las Torres,Pezuela de las Torres,Pezuela de las Torres Núcleo,743,"743",23479.5,25185,23479.5,31017.25,32034,31017.25,,,,31378,31187,31378,24500.5,26529,24500.5,28278.5,29393.8,28278.5,2703.5,3712,2703.5,3325.25,4796,3325.25,,,,3700.25,5639,3700.25,2965.5,4136,2965.5,3203.95,4615.8,3203.95,21774,21774,25185,25185,29746,29746,31843,31843,30255,30255,32225,32225,,,,,,,,,,,,,,,,,,,,,31569,31569,31187,31187,22472,22472,26529,26529,1693,1697,3712,3712,1865,1862,4824,4824,1849,1842,4768,4768,,,,,,,,,,,,,,,,,,,,,1771,1752,5639,5639,1786,1804,4136,4136,17445268.5,18712455,17445268.5,23045816.75,23801262,23045816.75,,,,23313854,23171941,23313854,18203871.5,19711047,18203871.5,21010925.5,21839593.4,21010925.5,2008700.5,2758016,2008700.5,2470660.75,3563428,2470660.75,,,,2749285.75,4189777,2749285.75,2203366.5,3073048,2203366.5,2380534.85,3429539.4,2380534.85
5,"093","01","01","0930101",Navacerrada,Navacerrada,Navacerrada Núcleo,3304,"3304",34082.25,43073.5,34082.25,15247.5,19611,15247.5,49084.1666666667,52916,49084.1666666667,3113,3325,3113,15202,19565,15202,30699.6071428571,34903.2142857143,30699.6071428571,3621.5,5681,3621.5,1790.75,2766.5,1790.75,3574.33333333333,4740.5,3574.33333333333,1099.5,1793.5,1099.5,1763.5,2728.5,1763.5,2714.03571428571,3884.42857142857,2714.03571428571,25091,25091,33207,52940,10884,10884,22496,16726,,,,,,,,,,,,,48241,48241,55360,53313,48158,48158,55531,53484,39358,39358,50844,48964,2901,2901,3325,3325,10839,10839,22450,16680,1571,1553,4738,6624,810,820,3234,2299,,,,,,,,,,,,,2365,2789,4011,4170,2388,2748,4169,4328,2016,2143,5953,5812,412,399,1752,1835,794,803,3196,2261,112607754,142314844,112607754,50377740,64794744,50377740,162174086.666667,174834464,162174086.666667,10285352,10985800,10285352,50227408,64642760,50227408,101431502,115320220,101431502,11965436,18770024,11965436,5916638,9140516,5916638,11809597.3333333,15662612,11809597.3333333,3632748,5925724,3632748,5826604,9014964,5826604,8967174,12834152,8967174
6,"120","01","01","1200101",Oteruelo del Valle,Oteruelo del Valle,Oteruelo del Valle Núcleo,111,"111",70692.25,91103.5,70692.25,84876.5,97262,84876.5,92137.875,96557.25,92137.875,32438,40348,32438,86323.5,122370,86323.5,76434.3333333333,90699.6666666667,76434.3333333333,6810.25,11212.5,6810.25,6071.75,8950.5,6071.75,6297.25,8745.75,6297.25,2196.25,3040,2196.25,7276.75,11178.5,7276.75,5824.91666666667,8645.5,5824.91666666667,50281,50281,56630,125577,72491,72491,103812,90712,,,,,,,,,,,,,88883,88883,89388,101762,86554,86554,91352,103727,,,,,24528,24528,40348,40348,50277,50277,117747,126993,2445,2371,11878,10547,3206,3180,10389,7512,,,,,,,,,,,,,3701,3850,8439,8379,3847,3997,9109,9056,,,,,1381,1324,3040,3040,3417,3333,11220,11137,7846839.75,10112488.5,7846839.75,9421291.5,10796082,9421291.5,10227304.125,10717854.75,10227304.125,3600618,4478628,3600618,9581908.5,13583070,9581908.5,8484211,10067663,8484211,755937.75,1244587.5,755937.75,673964.25,993505.5,673964.25,698994.75,970778.25,698994.75,243783.75,337440,243783.75,807719.25,1240813.5,807719.25,646565.75,959650.5,646565.75
7,"030","01","01","0300101","Cabrera, La",La Cabrera,La Cabrera Núcleo,2870,"2870",17488,17551,17488,44446,49257,44446,51076.5,47290.5,51076.5,10026,9874,10026,48761.75,57587.5,48761.75,37145.7916666667,38141.75,37145.7916666667,2155.75,3320.5,2155.75,2940.75,4075,2940.75,3264.125,4049.25,3264.125,1162.5,1641.5,1162.5,3708.25,5449,3708.25,2749.25,3764.08333333333,2749.25,17425,17425,20887,14215,39635,39635,58666,39848,,,,,,,,,,,,,56027,56027,44242,46809,53698,53698,46207,51904,,,,,10178,10178,9180,10568,39936,39936,73268,41907,999,983,3765,2876,1781,1832,4927,3223,,,,,,,,,,,,,2287,2485,2977,4117,2429,2715,3956,5147,,,,,691,676,1298,1985,1966,1969,6635,4263,50190560,50371370,50190560,127560020,141367590,127560020,146589555,135723735,146589555,28774620,28338380,28774620,139946222.5,165276125,139946222.5,106608422.083333,109466822.5,106608422.083333,6187002.5,9529835,6187002.5,8439952.5,11695250,8439952.5,9368038.75,11621347.5,9368038.75,3336375,4711105,3336375,10642677.5,15638630,10642677.5,7890347.5,10802919.1666667,7890347.5
8,"030","02","01","0300201","Asperilla, La",La Asperilla,La Asperilla Núcleo,12,"12",19080,18273,19080,48811.25,55525.5,48811.25,52793.875,48263.25,52793.875,9193.5,9190,9193.5,58400.75,74403.5,58400.75,40178.875,42319.75,40178.875,2480,3888.5,2480,4015.75,6151.5,4015.75,3571.375,4597.25,3571.375,1304.25,2009.5,1304.25,4603.25,7179.5,4603.25,3257.66666666667,4737.25,3257.66666666667,19887,19887,23014,13532,42097,42097,60785,50266,,,,,,,,,,,,,58489,58489,46362,48200,56160,56160,48327,50164,,,,,9197,9197,8495,9885,42398,42398,75387,73420,1072,1071,4548,3229,1833,1927,5640,6663,,,,,,,,,,,,,2318,2596,3690,4590,2489,2779,4669,5440,,,,,599,599,1711,2308,2016,2038,7348,7011,228960,219276,228960,585735,666306,585735,633526.5,579159,633526.5,110322,110280,110322,700809,892842,700809,482146.5,507837,482146.5,29760,46662,29760,48189,73818,48189,42856.5,55167,42856.5,15651,24114,15651,55239,86154,55239,39092,56847,39092
9,"030","03","01","0300301","Cabrerita y El Roble, La",La Cabrerita y El Roble,La Cabrerita y El Roble Núcleo,25,"25",18305,17412,18305,46643,51878,46643,55018.5,53401.5,55018.5,13802.5,13786,13802.5,40251.75,38794.5,40251.75,38173.2083333333,38112.25,38173.2083333333,1974,2896,1974,3771.25,5685,3771.25,4167.875,5800.5,4167.875,1625.25,2492,1625.25,3157.75,4305.5,3157.75,3144,4496.58333333333,3144,19198,19198,17412,17412,41408,41408,60705,43051,,,,,,,,,,,,,57800,57800,46281,50012,55471,55471,62206,55107,,,,,13819,13819,13786,13786,41709,41709,38829,38760,1057,1047,2896,2896,1823,1892,7107,4263,,,,,,,,,,,,,2339,2551,5157,5157,2479,2772,6701,6187,,,,,761,756,2492,2492,2003,2017,4755,3856,457625,435300,457625,1166075,1296950,1166075,1375462.5,1335037.5,1375462.5,345062.5,344650,345062.5,1006293.75,969862.5,1006293.75,954330.208333333,952806.25,954330.208333333,49350,72400,49350,94281.25,142125,94281.25,104196.875,145012.5,104196.875,40631.25,62300,40631.25,78943.75,107637.5,78943.75,78600,112414.583333333,78600
10,"030","07","01","0300701","Rabusera, La",La Rabusera,La Rabusera Núcleo,19,"19",16977.5,24136,16977.5,45170.5,50292,45170.5,51801.5,48325.5,51801.5,11984.25,11508.5,11984.25,49199.5,58049,49199.5,37822.4583333333,40106.0833333333,37822.4583333333,2904.25,4960,2904.25,3509.75,5159,3509.75,3834.625,5133.25,3834.625,1771.25,2785.5,1771.25,4115,6220,4115,3328.25,4898.5,3328.25,9819,9819,21357,26915,40049,40049,59129,41455,,,,,,,,,,,,,56442,56442,44705,48416,54113,54113,46670,53511,,,,,12460,12460,10814,12203,40350,40350,73731,42367,859,838,4620,5300,1816,1905,5682,4636,,,,,,,,,,,,,2335,2548,3732,5530,2497,2764,4711,6560,,,,,762,752,2533,3038,2008,2012,7390,5050,322572.5,458584,322572.5,858239.5,955548,858239.5,984228.5,918184.5,984228.5,227700.75,218661.5,227700.75,934790.5,1102931,934790.5,718626.708333333,762015.583333333,718626.708333333,55180.75,94240,55180.75,66685.25,98021,66685.25,72857.875,97531.75,72857.875,33653.75,52924.5,33653.75,78185,118180,78185,63236.75,93071.5,63236.75
