Origen,Hospitales grupo 3,Hospitales grupo 2,Bomberos,Juzgados,Salud mental
0790101,3797.0301668073976,7996.043301043506,19375.246099272958,3820.117527644443,5834.68701663662
0650601,14139.951139086505,13109.191492856455,24478.080690341016,5649.419064136005,14109.063305335721
0650901,9525.462278634739,9186.92043461394,21920.526189397897,6206.393480293686,9866.271276706342
0650401,9743.638906488575,10733.325085696717,22534.331385686713,8935.424546798045,10708.829913382
0650402,9526.90947781348,10458.957291522735,22383.99288439005,8760.556679578482,10470.408191223954
0650403,10517.996668701351,11683.78590772917,23072.903900688347,9568.67029811308,11547.537429472464
0320101,,8136.420581378852,39177.273045279624,8085.33655322435,17354.076014728118
0320401,,12906.874418820273,41690.6647801711,13142.126411494808,21112.98510447024
0320301,,6051.340609566744,37281.544270242346,5724.742650911067,15036.576361862817
1480401,,8859.862834436095,29064.180199335053,2231.1208418935007,10622.257327940164
1480101,,7156.962092681471,29868.523371183455,1253.9752465807342,10245.597913169435
1660101,,12014.939280480818,41819.83947829353,8906.692024155103,20969.569381046185
0480101,,13628.696876335855,44704.519344433225,10438.365419308913,23495.672321160233
0830201,,9052.893709998849,42365.82624921213,8398.325465103835,20028.985913128177
0120101,,11387.926615544473,44700.10176260501,8229.638670343553,22451.307521189407
1540101,,7791.2155555350455,35876.541645224344,15706.749183753269,15064.765750217588
1540201,,10217.382585919,36934.673404413654,13741.89265978679,17051.74477116898
1560201,,15301.56515993055,45001.02143931529,15232.908129811502,24324.23249904848
1560101,,17094.540620020307,46085.69117946531,17080.713160165385,25811.745671017787
1110101,,20338.370843844503,51778.87220494659,17350.06079707401,30820.76075896827
1110201,,20445.200124736897,52188.89204359795,17469.433521427047,31095.15189791455
1360201,,13898.716346608177,47434.335664265505,10962.268215617252,25255.337174938984
1360101,,15789.759630055516,49515.944004828954,13005.990416608938,27347.91463497039
0050101,,4549.879645872547,36770.16414186622,1959.9155703516572,13728.125116341982
1370101,,11911.091954736736,46264.37014352544,9363.85218582109,23690.206941383807
1720501,,6441.751962876244,36542.72636643224,3472.1489058414745,14708.853392741066
1720901,,7311.0239981146315,36975.08446805659,4422.76756250294,15482.317423687355
1720301,,7555.215457908669,37931.62437365272,4248.201558341481,16227.34245121235
1720201,,7227.763309095333,38631.6557428383,3479.246210984956,16514.32082566275
1720601,,10635.520821866117,41661.783958721404,7289.908705823751,20180.3230673378
1721001,,11737.881642154127,42794.007309797504,8455.794155383834,21420.405626826658
1720801,,11744.672479946,43553.45259457399,8430.93681146955,21890.066957152903
1250201,41907.98197063428,26362.023953168497,47804.452145915915,13872.440970494645,37423.176701220706
0440101,24813.54745261782,11174.761769220053,33993.06426492277,10767.72820360445,22954.42575440515
0870102,39843.036281090615,9075.066890011782,46224.38509105419,11318.888795418115,33817.98396577511
0380201,41222.79627195527,10537.06692100175,47433.652968894065,13060.843401663975,35328.993145660745
0380603,42253.244236076054,11623.442314347618,48364.94210884704,14179.63340697659,36347.92765285601
0380101,42044.23854328709,11753.249363833558,48144.77068684659,14479.21004891157,36390.46240310622
0380601,43396.31810044042,12844.141837463541,49406.45319612208,15436.012897025965,37491.1800656879
0380301,43143.55663782113,14651.348090463678,49127.637516972456,17556.852755758406,38203.2907635818
1521601,19147.74867656958,12010.358684972965,29786.61073729538,9897.958519313524,19961.568817067466
1520601,20677.063026975797,10741.163481857326,30921.566508987933,8327.201812307334,20634.403214906604
1521501,19891.50341357135,11248.516212905159,30318.359554902934,9119.585857728156,20309.252977589338
1521101,18779.81453774567,12476.154330604872,29459.166923074466,10675.97882991836,19907.64286377001
1521401,20424.63803730108,10672.772685272992,30685.844556919183,8631.517451333715,20586.756152861926
1520401,22198.67239104268,9096.01167608632,31999.8941233166,6719.967600347848,21367.079734647356
1521201,20944.369354143666,10149.756355257072,31035.008950284002,8298.769920607147,20895.581805779722
