CDTNUCLEO;DESCR;POBL
10101;ACEBEDA (LA);53
20101;AJALVIR;4943
30101;ALAMEDA DEL VALLE;253
40101;ÁLAMO (EL);10333
50101;ALCALÁ DE HENARES;199590
50501;CENTRO DE INVESTIGACIÓN AGRARIA;0
51001;PRISIÓN ALCALÁ-MECO;0
60101;ALCOBENDAS;121330
60108;SEMINARIO;0
70101;ALCORCÓN;170478
70201;CAMPODÓN;1017
70301;VENTA LA RUBIA;0
70401;VENTORRO DEL CANO;180
70601;FUENTE CISNEROS;2905
70701;MONTEPRÍNCIPE;125
80101;ALDEA DEL FRESNO;2587
80102;MONTEROS (LOS);238
80301;CARBAJO-PALOMEQUE;30
80303;RODRÍGUEZ (LOS);32
80304;MANGA DE LA PEDRERA;19
80501;DEHESILLA (LA);N.E.
80701;CARAVAN GARDEN;258
80702;CARRETA QUEBRADA;165
80703;RINCÓN (EL);N.E.
90101;ALGETE;15655
90501;NOGAL (EL);2
90601;PRADO NORTE;2208
90801;SANTO DOMINGO;3211
91101;DEHESA NUEVA;10
100101;ALPEDRETE;11950
101701;VALDENCINA;350
101801;NEGRALES-LOS LLANOS (LOS);3355
110101;AMBITE;423
110201;SIERRA DE TAJUÑA;270
120101;ANCHUELO;1369
120201;CERRO DE MIRALBUENO;0
130101;ALGODOR;21
130201;ARANJUEZ;53662
130202;ACADEMIA ESPECIAL DE LA GUARDIA CIVIL;87
130203;TEJERAS (LAS);20
130401;REAL CORTIJO DE SAN ISIDRO;511
130901;MONTAÑA (LA);7997
140101;ARGANDA;51109
140301;AVÍCOLA DEL JARAMA;113
140302;EMISORA DE ONDA CORTA;0
140303;LAGO COTOS CISNEROS;0
140304;PUENTE DE ARGANDA;111
140701;VILLARES (LOS);7643
150101;ARROYOMOLINOS;15689
150201;CASTAÑERAS Y CIUDAD JARDÍN;21303
150301;RÍO GUADARRAMA;284
150302;XANADÚ;0
150401;VALDEFUENTES;3
160101;ATAZAR (EL);104
170101;BATRES;794
170301;COTORREDONDO;1072
170401;OLIVOS (LOS);28
180101;BECERRIL DE LA SIERRA;5832
180201;BERROCAL (EL);265
180301;CEBALES (LOS);6
180401;MONTELLANO;323
180601;VISTA REAL;126
190101;BELMONTE DE TAJO;1905
200101;BERZOSA DEL LOZOYA;225
210101;BERRUECO (EL);662
210201;PEÑÁGUILA;28
210401;PRADERA DEL AMOR;101
220101;BOADILLA DEL MONTE;44123
221101;PRADO DEL ESPINO;0
221601;URBANIZACIONES ESTE;2018
221701;URBANIZACIONES NOROESTE;19337
230101;BOALO (EL);2497
230201;CERCEDA;3536
230301;MATAELPINO;2017
230501;PEÑA DE LAS GALLINAS;308
230601;PONDEROSA I (LA);46
230701;PONDEROSA II (LA);1
231101;SAN MURIEL;82
240101;BRAOJOS;218
250101;BREA DE TAJO;434
250201;ALAMEDA Y EL QUEJIGAL (LA);92
260101;BRUNETE;9783
260201;DEHESA (LA);84
260301;VALLE DE LOS ROSALES (EL);991
270101;BUITRAGO DEL LOZOYA;1963
280101;BUSTARVIEJO;2338
280201;CABEZA RASA;0
280701;MANANTIAL (EL);9
280901;PEDREGAL (EL);253
281301;CUESTA EUSEBIA;55
281302;PESQUERA (LA);36
290101;CABANILLAS DE LA SIERRA;888
290201;D'OREMOR;0
290301;LAGUNAZOS (LOS);7
300101;CABRERA (LA);2870
300201;ASPERILLA (LA);12
300301;CABRERITA Y EL ROBLE (LA);25
300701;RABUSERA (LA);19
310101;CADALSO DE LOS VIDRIOS;2875
310501;ENTREPINOS;295
320101;CAMARMA DE ESTERUELAS;7132
320301;ALCAMAR;420
320401;PRACTICANTE (EL);542
330101;CAMPO REAL;6187
330201;MONTEHERMOSO;529
330301;POLÍGONO BORONDO;0
340101;CANENCIA;440
350101;CARABAÑA;2300
360101;CASARRUBUELOS;4211
370102;CENICIENTOS;2076
370201;ALMENDROS (LOS);6
380101;CAMORRITOS;87
380201;CERCEDILLA;7196
380301;PUERTO DE NAVACERRADA;113
380302;VENTORRILLO (EL);0
380601;DEHESAS (LAS);56
380602;FUENFRÍA (LA);11
380603;VALLE DE FUENFRIA;159
390101;CERVERA DE BUITRAGO;146
400101;CIEMPOZUELOS;26037
410101;COBEÑA;7723
410201;CAMPO NUEVO;4
420101;COLMENAR DEL ARROYO;1644
420201;VALLE DEL SOL;307
430201;COLMENAR DE OREJA;5587
430301;MIRALCAMPO;0
430401;BALCÓN DE TAJO-URTAJO;2389
431401;VALLE DE SAN JUAN-LOS VALLEJOS;876
440101;COLMENAREJO;9648
450101;COLMENAR VIEJO;55428
450301;CHORTALES (LOS);29
450401;FAMET;91
450501;NAVARROSILLOS-POLÍGONO SUR;10
450601;CIUDALCAMPO;786
450602;PUEBLAS (LAS);9
450605;VALDELAGUA-PUNTA GALEA;182
450701;SAN PEDRO;111
460101;COLLADO MEDIANO;6390
460201;BARRIZALES (LOS);45
460601;REAJO DEL ROBLE;198
460701;SERRANÍA DE LA PALOMA;894
470101;COLLADO VILLALBA;18105
470501;ESTACIÓN (LA);45736
471001;CERCA DE CASCARRILLA;16
471101;DOMINIO DE FONTENEBRO;3466
480101;CORPA;794
490101;COSLADA;80688
500101;CUBAS;4042
500201;NUBE (LA);15
500301;PINAR (EL);118
500401;SOTO (EL);2638
500501;ARROYADAS (LAS);1
500801;SALMUEROS (LOS);9
510101;CHAPINERÍA;2456
510201;VALQUIGOSO;159
520101;CHINCHÓN;4460
520201;NUEVO CHINCHÓN;496
520301;COHONARES (LOS);101
520401;CUBILLAS (LAS);5
520601;VALGRANDE;57
520901;VALBOSQUE;24
521101;VALROMEROSO;8
530101;DAGANZO DE ARRIBA;10673
530201;ASOCIACIÓN DEPORTIVO CULTURAL DAGANZO;0
530301;FRAILES (LOS);0
540101;ALCOR (EL);321
540201;CAMPILLO (EL);0
540401;ESCORIAL (EL);9200
540402;SOTO MORA;1167
540601;NAVALQUEJIGO;5916
540701;PERALEJO;185
540801;PINOSOL;447
550201;CUATRO CAMINOS;26
550202;ESTREMERA;1113
550401;PEÑA RUBIA;162
550402;CERRO DEL AIRE;62
550403;VEGA DE LOS FRAILES;17
550404;VILLARES (LOS);0
560101;FRESNEDILLAS DE LA OLIVA;1764
570102;FRESNO DE TOROTE;2
570201;SERRACINES;1787
570202;VALLE DEL RÍO;12
570301;JARDÍN DE SERRACINES;746
580101;CORDEL DE LA CARRERA;0
580102;FUENLABRADA;162782
580104;ESTORIL;N.E.
580501;LORANCA;25546
580502;CALLFERSA;0
580503;MIRAFLORES;2165
590101;FUENTE EL SAZ DE JARAMA;6594
600101;FUENTIDUEÑA DE TAJO;1929
600201;ALARILLA;354
610101;BELLAVISTA;172
610401;CUESTAS (LAS);372
610501;ENCINAR-SAN ALBERTO-VISTA NEVADA;755
610601;ESPAÑA;1233
610701;FUENTE LA TEJA;1042
610801;GALAPAGAR;22399
610901;GUIJO (EL);2017
611501;RANCHOS (LOS);119
611601;RONCESVALLES;297
611701;POCILLO (EL);466
612001;PARQUELAGOS;2203
612101;NAVATA (LA);4670
620201;CUADRÓN (EL);31
620202;PRADO GUSTAR;5
620301;GARGANTA DE LOS MONTES;303
620401;ERAS DEL SOTO (LAS);3
620501;PAJARILLA (LA);10
620601;VERDUGAL (EL);21
630101;GARGANTILLA DEL LOZOYA;226
630201;PINILLA DE BUITRAGO;101
630701;SOBACO (EL);0
640101;ESTACIÓN DE GASCONES-BUITRAGO;0
640201;GASCONES;174
640401;REDONDO DE ABAJO;0
640501;REDONDO DE ARRIBA;0
650301;GETAFE;161160
650401;BULERA (LA);134
650402;CASAS DEL CURA;8836
650403;CASERÍO DE PERALES;970
650501;ACEDINOS;0
650601;ATALAYUELA (LA);15
650701;BERCIAL (EL);20046
650901;ADARO;260
660101;GRIÑÓN;10707
670101;GUADALIX DE LA SIERRA;6896
680101;CABEZUELAS (LAS);2117
680201;GUADARRAMA;13823
680301;TABLADA;103
680601;ALDERETE;30
680701;CANTO DE LA PATA;11
680703;SERRANILLA (LA);73
680705;VALLEFRESNOS-EL PEÑÓN;677
680801;NEGRALES (LOS);187
690101;HIRUELA (LA);82
700101;HORCAJO DE LA SIERRA;104
700201;AOSLOS;94
710101;HORCAJUELO DE LA SIERRA;107
720101;BERZALEJO;81
720201;BERZOSA;2613
720301;HOYO DE MANZANARES;5748
720401;NAVALLERA;0
720501;PARQUE DE LAS COLINAS;512
730101;HUMANES DE MADRID;19915
740101;FORTUNA;13961
740201;LEGANÉS;179739
740202;VIÑA GRANDE;4
740502;VIÑA GRANDE;N.E.
740602;CERRO DEL CASTAÑAR;53
740604;PRADO OVERA;64
