Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;"001 Acebeda, La";"101";"101";"10101";ACEBEDA (LA);NUC;"53";53
28 Madrid;"002 Ajalvir";"101";"101";"20101";AJALVIR;NUC;"4943";4943
28 Madrid;"003 Alameda del Valle";"101";"101";"30101";ALAMEDA DEL VALLE;NUC;"253";253
28 Madrid;"004 Álamo, El";"101";"101";"40101";ÁLAMO (EL);NUC;"10333";10333
28 Madrid;"005 Alcalá de Henares";"101";"101";"50101";ALCALÁ DE HENARES;NUC;"199590";199590
28 Madrid;"005 Alcalá de Henares";"501";"501";"50501";CENTRO DE INVESTIGACIÓN AGRARIA;NUC;"0";0
28 Madrid;"005 Alcalá de Henares";"1001";"1001";"51001";PRISIÓN ALCALÁ-MECO;NUC;"0";0
28 Madrid;"006 Alcobendas";"101";"101";"60101";ALCOBENDAS;NUC;"121330";121330
28 Madrid;"006 Alcobendas";"108";"108";"60108";SEMINARIO;NUC;"0";0
28 Madrid;"007 Alcorcón";"101";"101";"70101";ALCORCÓN;NUC;"170478";170478
28 Madrid;"007 Alcorcón";"201";"201";"70201";CAMPODÓN;NUC;"1017";1017
28 Madrid;"007 Alcorcón";"301";"301";"70301";VENTA LA RUBIA;NUC;"0";0
28 Madrid;"007 Alcorcón";"401";"401";"70401";VENTORRO DEL CANO;NUC;"180";180
28 Madrid;"007 Alcorcón";"601";"601";"70601";FUENTE CISNEROS;NUC;"2905";2905
28 Madrid;"007 Alcorcón";"701";"701";"70701";MONTEPRÍNCIPE;NUC;"125";125
28 Madrid;"008 Aldea del Fresno";"101";"101";"80101";ALDEA DEL FRESNO;NUC;"2587";2587
28 Madrid;"008 Aldea del Fresno";"102";"102";"80102";MONTEROS (LOS);NUC;"238";238
28 Madrid;"008 Aldea del Fresno";"301";"301";"80301";CARBAJO-PALOMEQUE;NUC;"30";30
28 Madrid;"008 Aldea del Fresno";"303";"303";"80303";RODRÍGUEZ (LOS);NUC;"32";32
28 Madrid;"008 Aldea del Fresno";"304";"304";"80304";MANGA DE LA PEDRERA;NUC;"19";19
28 Madrid;"008 Aldea del Fresno";"701";"701";"80701";CARAVAN GARDEN;NUC;"258";258
28 Madrid;"008 Aldea del Fresno";"702";"702";"80702";CARRETA QUEBRADA;NUC;"165";165
28 Madrid;"009 Algete";"101";"101";"90101";ALGETE;NUC;"15655";15655
28 Madrid;"009 Algete";"501";"501";"90501";NOGAL (EL);NUC;"2";2
