Provincia;Municipio;Código Unidad Poblacional;CODIGO;Unidad Poblacional;field_6;Poblacion_Total
28 Madrid;005 Alcalá de Henares;501;0050501;CENTRO DE INVESTIGACIÓN AGRARIA;NUC;0
28 Madrid;005 Alcalá de Henares;1001;0051001;PRISIÓN ALCALÁ-MECO;NUC;0
28 Madrid;006 Alcobendas;108;0060108;SEMINARIO;NUC;0
28 Madrid;007 Alcorcón;301;0070301;VENTA LA RUBIA;NUC;0
28 Madrid;012 Anchuelo;201;0120201;CERRO DE MIRALBUENO;NUC;0
28 Madrid;014 Arganda del Rey;302;0140302;EMISORA DE ONDA CORTA;NUC;0
28 Madrid;014 Arganda del Rey;303;0140303;LAGO COTOS CISNEROS;NUC;0
28 Madrid;015 Arroyomolinos;302;0150302;XANADÚ;NUC;0
28 Madrid;022 Boadilla del Monte;1101;0221101;PRADO DEL ESPINO;NUC;0
28 Madrid;028 Bustarviejo;201;0280201;CABEZA RASA;NUC;0
28 Madrid;029 Cabanillas de la Sierra;201;0290201;D'OREMOR;NUC;0
28 Madrid;033 Campo Real;301;0330301;POLÍGONO BORONDO;NUC;0
28 Madrid;038 Cercedilla;302;0380302;VENTORRILLO (EL);NUC;0
28 Madrid;043 Colmenar de Oreja;301;0430301;MIRALCAMPO;NUC;0
28 Madrid;053 Daganzo de Arriba;201;0530201;ASOCIACIÓN DEPORTIVO CULTURAL DAGANZO;NUC;0
28 Madrid;053 Daganzo de Arriba;301;0530301;FRAILES (LOS);NUC;0
28 Madrid;054 Escorial, El;201;0540201;CAMPILLO (EL);NUC;0
28 Madrid;055 Estremera;404;0550404;VILLARES (LOS);NUC;0
28 Madrid;058 Fuenlabrada;101;0580101;CORDEL DE LA CARRERA;NUC;0
28 Madrid;058 Fuenlabrada;502;0580502;CALLFERSA;NUC;0
28 Madrid;063 Gargantilla del Lozoya y Pinilla de Buitrago;701;0630701;SOBACO (EL);NUC;0
28 Madrid;064 Gascones;101;0640101;ESTACIÓN DE GASCONES-BUITRAGO;NUC;0
28 Madrid;064 Gascones;401;0640401;REDONDO DE ABAJO;NUC;0
28 Madrid;064 Gascones;501;0640501;REDONDO DE ARRIBA;NUC;0
28 Madrid;065 Getafe;501;0650501;ACEDINOS;NUC;0
28 Madrid;072 Hoyo de Manzanares;401;0720401;NAVALLERA;NUC;0
28 Madrid;083 Meco;101;0830101;ESTACIÓN Y LA VENTA (LA);NUC;0
28 Madrid;084 Mejorada del Campo;601;0840601;VALDECELADA;NUC;0
28 Madrid;093 Navacerrada;301;0930301;BARRANCA (LA);NUC;0
28 Madrid;094 Navalafuente;501;0940501;PISCIS;NUC;0
28 Madrid;095 Navalagamella;103;0950103;PLANTÍO (EL);NUC;0
28 Madrid;096 Navalcarnero;401;0960401;AGUAS DE RIAZA;NUC;0
28 Madrid;096 Navalcarnero;1001;0961001;FUENTE PILA;NUC;0
28 Madrid;096 Navalcarnero;1101;0961101;MANCIGORDO;NUC;0
28 Madrid;097 Navarredonda y San Mamés;301;0970301;PATUELO (EL);NUC;0
28 Madrid;097 Navarredonda y San Mamés;401;0970401;PRADO GAMONAL;NUC;0
28 Madrid;097 Navarredonda y San Mamés;501;0970501;SOLANILLA (LA);NUC;0
28 Madrid;107 Patones;201;1070201;POBLADO DEL ATAZAR;NUC;0
28 Madrid;119 Quijorna;101;1190101;PERALES DE MILLA;NUC;0
28 Madrid;120 Rascafría;201;1200201;COTOS (LOS);NUC;0
28 Madrid;123 Rivas-Vaciamadrid;601;1230601;RIVAS DE JARAMA;NUC;0
28 Madrid;123 Rivas-Vaciamadrid;1101;1231101;PUENTE DE ARGANDA;NUC;0
28 Madrid;127 Rozas de Madrid, Las;1101;1271101;GARZO (EL);NUC;0
28 Madrid;129 San Agustín del Guadalix;301;1290301;BARRANCO HONDO;NUC;0
28 Madrid;129 San Agustín del Guadalix;401;1290401;IBERDROLA;NUC;0
28 Madrid;129 San Agustín del Guadalix;701;1290701;RASO (EL);NUC;0
28 Madrid;129 San Agustín del Guadalix;801;1290801;SIMA (LA);NUC;0
28 Madrid;130 San Fernando de Henares;1001;1301001;SOTO DE ALDOVEA;NUC;0
28 Madrid;131 San Lorenzo de El Escorial;401;1310401;HOSPITAL;NUC;0
28 Madrid;131 San Lorenzo de El Escorial;501;1310501;SANTA MARÍA DEL BUEN AIRE;NUC;0
28 Madrid;131 San Lorenzo de El Escorial;901;1310901;CAMPING ESCORIAL;NUC;0
28 Madrid;135 Santa María de la Alameda;1101;1351101;CEREDA (LA);NUC;0
28 Madrid;140 Serranillos del Valle;301;1400301;CARRASCAL (EL);NUC;0
28 Madrid;145 Talamanca de Jarama;802;1450802;TESORO (EL);NUC;0
28 Madrid;148 Torrejón de Ardoz;201;1480201;BASE AÉREA;NUC;0
28 Madrid;148 Torrejón de Ardoz;202;1480202;I.N.T.A.;NUC;0
28 Madrid;171 Villa del Prado;101;1710101;ALAMÍN;NUC;0
28 Madrid;171 Villa del Prado;803;1710803;BLANCA (LA);NUC;0
28 Madrid;171 Villa del Prado;1001;1711001;HOSPITAL (EL);NUC;0
28 Madrid;176 Villanueva de la Cañada;701;1760701;CASTILLO (EL);NUC;0
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;901;9010901;TOMILLERAS (LAS);NUC;0
28 Madrid;902 Puentes Viejas;501;9020501;PRESA DE PUENTES VIEJAS;NUC;0
28 Madrid;903 Tres Cantos;101;9030101;MORALEJA (LA);NUC;0
28 Madrid;023 Boalo, El;701;0230701;PONDEROSA II (LA);NUC;1
28 Madrid;050 Cubas de la Sagra;501;0500501;ARROYADAS (LAS);NUC;1
28 Madrid;009 Algete;501;0090501;NOGAL (EL);NUC;2
28 Madrid;057 Fresno de Torote;102;0570102;FRESNO DE TOROTE;NUC;2
28 Madrid;085 Miraflores de la Sierra;401;0850401;HUELGAS (LAS);NUC;2
28 Madrid;168 Vellón, El;701;1680701;CALVERO (EL);NUC;2
28 Madrid;181 Villaviciosa de Odón;302;1810302;MONTE DE LA VILLA;NUC;2
28 Madrid;181 Villaviciosa de Odón;701;1810701;ARCO IRIS;NUC;2
28 Madrid;015 Arroyomolinos;401;0150401;VALDEFUENTES;NUC;3
28 Madrid;062 Garganta de los Montes;401;0620401;ERAS DEL SOTO (LAS);NUC;3
28 Madrid;132 San Martín de la Vega;401;1320401;AIMAYR;NUC;3
28 Madrid;144 Soto del Real;401;1440401;CIERRO DE SAN BARTOLOMÉ;NUC;3
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;301;9010301;FUENTE BLANQUILLA;NUC;3
28 Madrid;041 Cobeña;201;0410201;CAMPO NUEVO;NUC;4
28 Madrid;074 Leganés;202;0740202;VIÑA GRANDE;NUC;4
28 Madrid;052 Chinchón;401;0520401;CUBILLAS (LAS);NUC;5
28 Madrid;062 Garganta de los Montes;202;0620202;PRADO GUSTAR;NUC;5
28 Madrid;018 Becerril de la Sierra;301;0180301;CEBALES (LOS);NUC;6
28 Madrid;037 Cenicientos;201;0370201;ALMENDROS (LOS);NUC;6
28 Madrid;095 Navalagamella;201;0950201;BARRANCOS (LOS);NUC;6
28 Madrid;160 Valdemorillo;1201;1601201;CAMPING DE VALDEMORILLO;NUC;6
28 Madrid;029 Cabanillas de la Sierra;301;0290301;LAGUNAZOS (LOS);NUC;7
28 Madrid;090 Moralzarzal;501;0900501;PRADERAS (LAS);NUC;7
28 Madrid;113 Pinto;201;1130201;ARENAS (LAS);NUC;7
28 Madrid;173 Villamanrique de Tajo;201;1730201;CASTILLO DE TAJO;NUC;7
28 Madrid;182 Villavieja del Lozoya;601;1820601;CAÑADA (LA);NUC;7
28 Madrid;052 Chinchón;1101;0521101;VALROMEROSO;NUC;8
28 Madrid;183 Zarzalejo;601;1830601;MORALES (LOS);NUC;8
28 Madrid;028 Bustarviejo;701;0280701;MANANTIAL (EL);NUC;9
28 Madrid;045 Colmenar Viejo;602;0450602;PUEBLAS (LAS);NUC;9
28 Madrid;050 Cubas de la Sagra;801;0500801;SALMUEROS (LOS);NUC;9
28 Madrid;120 Rascafría;203;1200203;PAULAR (EL);NUC;9
28 Madrid;135 Santa María de la Alameda;1301;1351301;MOLINO NUEVO;NUC;9
28 Madrid;182 Villavieja del Lozoya;701;1820701;SOLANILLA (LA);NUC;9
28 Madrid;009 Algete;1101;0091101;DEHESA NUEVA;NUC;10
28 Madrid;045 Colmenar Viejo;501;0450501;NAVARROSILLOS-POLÍGONO SUR;NUC;10
28 Madrid;062 Garganta de los Montes;501;0620501;PAJARILLA (LA);NUC;10
28 Madrid;094 Navalafuente;201;0940201;ARRETURAS (LAS);NUC;10
28 Madrid;094 Navalafuente;702;0940702;VIÑAS II (LAS);NUC;10
28 Madrid;038 Cercedilla;602;0380602;FUENFRÍA (LA);NUC;11
28 Madrid;068 Guadarrama;701;0680701;CANTO DE LA PATA;NUC;11
28 Madrid;130 San Fernando de Henares;801;1300801;POLÍGONO DE SAN FERNANDO DE HENARES;NUC;11
28 Madrid;135 Santa María de la Alameda;201;1350201;HERRERAS (LAS);NUC;11
28 Madrid;030 Cabrera, La;201;0300201;ASPERILLA (LA);NUC;12
28 Madrid;057 Fresno de Torote;202;0570202;VALLE DEL RÍO;NUC;12
28 Madrid;135 Santa María de la Alameda;1401;1351401;UMBRÍA DE LOS GALLEGOS;NUC;13
28 Madrid;130 San Fernando de Henares;1301;1301301;CASTELLANAS (LAS);NUC;14
28 Madrid;131 San Lorenzo de El Escorial;101;1310101;SANTA CRUZ DEL VALLE DE LOS CAÍDOS;NUC;14
28 Madrid;050 Cubas de la Sagra;201;0500201;NUBE (LA);NUC;15
28 Madrid;065 Getafe;601;0650601;ATALAYUELA (LA);NUC;15
28 Madrid;075 Loeches;101;0750101;COLEGIO MONFORT;NUC;15
28 Madrid;151 Torrelaguna;201;1510201;TOMILLARES (LOS);NUC;15
28 Madrid;159 Valdemaqueda;201;1590201;RÍO (EL);NUC;15
28 Madrid;047 Collado Villalba;1001;0471001;CERCA DE CASCARRILLA;NUC;16
28 Madrid;094 Navalafuente;601;0940601;SOCOCAR;NUC;16
28 Madrid;145 Talamanca de Jarama;601;1450601;DUNAS (LAS);NUC;16
28 Madrid;055 Estremera;403;0550403;VEGA DE LOS FRAILES;NUC;17
28 Madrid;145 Talamanca de Jarama;501;1450501;CARRACALDERAS;NUC;17
28 Madrid;104 Paracuellos de Jarama;301;1040301;AVALÓN (EL);NUC;18
28 Madrid;131 San Lorenzo de El Escorial;102;1310102;VALLE DE LOS CAIDOS;NUC;18
28 Madrid;008 Aldea del Fresno;304;0080304;MANGA DE LA PEDRERA;NUC;19
28 Madrid;030 Cabrera, La;701;0300701;RABUSERA (LA);NUC;19
28 Madrid;013 Aranjuez;203;0130203;TEJERAS (LAS);NUC;20
28 Madrid;135 Santa María de la Alameda;301;1350301;HOYA (LA);NUC;20
28 Madrid;013 Aranjuez;101;0130101;ALGODOR;NUC;21
28 Madrid;062 Garganta de los Montes;601;0620601;VERDUGAL (EL);NUC;21
28 Madrid;153 Torremocha de Jarama;401;1530401;CERRADA (LA);NUC;22
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;501;9010501;MAZACORTA;NUC;22
28 Madrid;169 Venturada;301;1690301;ROSALES (LOS);NUC;23
28 Madrid;052 Chinchón;901;0520901;VALBOSQUE;NUC;24
28 Madrid;145 Talamanca de Jarama;801;1450801;PERDIGONES (LOS);NUC;24
28 Madrid;030 Cabrera, La;301;0300301;CABRERITA Y EL ROBLE (LA);NUC;25
28 Madrid;055 Estremera;201;0550201;CUATRO CAMINOS;NUC;26
28 Madrid;182 Villavieja del Lozoya;301;1820301;CABEZAS (LAS);NUC;26
28 Madrid;182 Villavieja del Lozoya;401;1820401;TERCIO DE LA LAGUNA (EL);NUC;27
28 Madrid;183 Zarzalejo;201;1830201;PEÑA ROSAL;NUC;27
28 Madrid;017 Batres;401;0170401;OLIVOS (LOS);NUC;28
28 Madrid;021 Berrueco, El;201;0210201;PEÑÁGUILA;NUC;28
28 Madrid;045 Colmenar Viejo;301;0450301;CHORTALES (LOS);NUC;29
28 Madrid;008 Aldea del Fresno;301;0080301;CARBAJO-PALOMEQUE;NUC;30
28 Madrid;068 Guadarrama;601;0680601;ALDERETE;NUC;30
28 Madrid;135 Santa María de la Alameda;601;1350601;PARADILLA (LA);NUC;30
28 Madrid;062 Garganta de los Montes;201;0620201;CUADRÓN (EL);NUC;31
28 Madrid;122 Ribatejada;301;1220301;BARRANCOS (LOS);NUC;31
28 Madrid;008 Aldea del Fresno;303;0080303;RODRÍGUEZ (LOS);NUC;32
28 Madrid;136 Santorcaz;101;1360101;ESTACIÓN TRANSMISORA MARINA;NUC;32
28 Madrid;182 Villavieja del Lozoya;201;1820201;LLANOS (LOS);NUC;32
28 Madrid;144 Soto del Real;301;1440301;FRESNEDA-DEHESA BOYAL-CAMPING LA FRESNEDA (LA);NUC;33
28 Madrid;028 Bustarviejo;1302;0281302;PESQUERA (LA);NUC;36
28 Madrid;132 San Martín de la Vega;501;1320501;POBLADO DE ABAJO;NUC;36
28 Madrid;174 Villamanta;201;1740201;JIRFA;NUC;37
28 Madrid;149 Torrejón de la Calzada;301;1490301;VACIASILOS;NUC;40
28 Madrid;094 Navalafuente;701;0940701;VIÑAS I (LAS);NUC;42
28 Madrid;090 Moralzarzal;301;0900301;ARROYUELOS (LOS);NUC;43
28 Madrid;141 Sevilla la Nueva;701;1410701;VALDELAGUA;NUC;43
28 Madrid;046 Collado Mediano;201;0460201;BARRIZALES (LOS);NUC;45
28 Madrid;171 Villa del Prado;1101;1711101;HOYAS (LAS);NUC;45
28 Madrid;023 Boalo, El;601;0230601;PONDEROSA I (LA);NUC;46
28 Madrid;107 Patones;401;1070401;PATONES DE ARRIBA;NUC;46
28 Madrid;160 Valdemorillo;1203;1601203;CHARQUILLAS (LAS);NUC;47
28 Madrid;099 Navas del Rey;501;0990501;SANTA ANA;NUC;48
28 Madrid;001 Acebeda, La;101;0010101;ACEBEDA (LA);NUC;53
28 Madrid;074 Leganés;602;0740602;CERRO DEL CASTAÑAR;NUC;53
28 Madrid;110 Perales de Tajuña;301;1100301;PRADO DE ARRIBA;NUC;53
28 Madrid;163 Valdepiélagos;102;1630102;FRONTAL (EL);NUC;54
28 Madrid;028 Bustarviejo;1301;0281301;CUESTA EUSEBIA;NUC;55
28 Madrid;099 Navas del Rey;401;0990401;ROCHA (LA);NUC;55
28 Madrid;135 Santa María de la Alameda;501;1350501;NAVALESPINO;NUC;55
28 Madrid;158 Valdemanco;301;1580301;HOYA (LA);NUC;55
28 Madrid;174 Villamanta;401;1740401;OLIVOS (LOS);NUC;55
28 Madrid;038 Cercedilla;601;0380601;DEHESAS (LAS);NUC;56
28 Madrid;052 Chinchón;601;0520601;VALGRANDE;NUC;57
28 Madrid;132 San Martín de la Vega;1002;1321002;VALLEQUILLAS SUR;NUC;58
28 Madrid;097 Navarredonda y San Mamés;101;0970101;NAVARREDONDA;NUC;59
28 Madrid;055 Estremera;402;0550402;CERRO DEL AIRE;NUC;62
28 Madrid;114 Piñuécar-Gandullas;101;1140101;GANDULLAS;NUC;62
28 Madrid;120 Rascafría;401;1200401;GRIFOS (LOS);NUC;62
28 Madrid;078 Madarcos;101;0780101;MADARCOS;NUC;63
28 Madrid;074 Leganés;604;0740604;PRADO OVERA;NUC;64
